Environment
Dirt, 448, 384
Dirt, 512, 384
Dirt, 320, 448
Dirt, 384, 448
Dirt, 448, 448
Dirt, 512, 448
Dirt, 576, 448
Dirt, 640, 448
Dirt, 320, 512
Dirt, 384, 512
Dirt, 448, 512
Dirt, 512, 512
Dirt, 576, 512
Dirt, 640, 512
LeftStatue, 192, 192
LeftStatue, 192, 320
LeftStatue, 192, 448
LeftStatue, 384, 192
LeftStatue, 384, 320
LeftStatue, 384, 448
RightStatue, 576, 192
RightStatue, 576, 320
RightStatue, 576, 448
RightStatue, 768, 192
RightStatue, 768, 320
RightStatue, 768, 448
LockDoorTop, 448, 0
OpenDoorLeft, 0, 288
OpenDoorRight, 896, 288
WallBottom, 448, 576
Items
Key, 448, 200
Levels
Top, DungeonRoom4
Left, DungeonRoom2
Right, DungeonRoom3
Bottom, DungeonRoom0
